General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,1069,20.90445464,125.927002,0.0098542,0.07900802,0.997682,0.996823,71.913521,-0.0026,100.4936,0,277.434,336.75,337.874,1022.278,0,0
,,1070,20.90428944,121.122081,0.00977051,0.07876819,0.997923,0.996307,72.040549,-0.0053,100.4936,0,277.422,336.721,337.845,1022.015,0,0
,,1071,20.90522999,128.509954,0.00969158,0.0786987,0.996817,0.995786,72.063717,-0.0054,100.4936,0,277.449,336.696,337.81,1022.209,0,0
,,1072,20.90549082,127.766914,0.00964467,0.07826327,0.99631,0.995272,71.923763,-0.0054,100.4932,0,277.445,336.674,337.814,1022.111,0,0
,,1073,20.90736722,128.083784,0.00964298,0.07826169,0.994541,0.994764,71.814048,-0.0055,100.4926,0,277.438,336.634,337.782,1022.318,0,0
,,1074,20.90818107,124.378639,0.00962228,0.07843645,0.995162,0.994253,72.033625,-0.0056,100.4932,0,277.45,336.588,337.695,1022.325,0,0
,,1075,20.90830258,127.266982,0.00966085,0.07823603,0.995253,0.993768,71.951424,-0.0054,100.4936,0,277.444,336.558,337.656,1022.302,0,0
,,1076,20.90811634,122.541549,0.0097528,0.07736075,0.993551,0.993328,71.937124,-0.0054,100.4938,0,277.439,336.533,337.673,1022.321,0,0
,,1077,20.90752642,128.323066,0.0098466,0.07716331,0.993335,0.992865,71.931496,-0.0054,100.4939,0,277.447,336.478,337.608,1022.316,0,0
,,1078,20.90755804,125.92617,0.00995044,0.07730221,0.993897,0.992433,72.171378,-0.0053,100.4939,0,277.447,336.472,337.608,1022.307,0,0
,,1079,20.90797999,118.557324,0.01001286,0.07698768,0.993264,0.99201,71.971929,-0.0052,100.4937,0,277.452,336.447,337.633,1022.299,0,0
,,1080,20.90831856,124.632523,0.0100577,0.07688154,0.99273,0.99157,71.806085,-0.0055,100.4938,0,277.444,336.467,337.644,1022.299,0,0
,,1081,20.90834991,125.227347,0.01005921,0.07655863,0.992528,0.991126,71.915202,-0.0054,100.4937,0,277.456,336.455,337.697,1022.302,0,0
,,1082,20.90804139,126.533493,0.01005955,0.07582494,0.991888,0.990665,71.923154,-0.0054,100.4938,0,277.471,336.456,337.753,1022.317,0,0
,,1083,20.90863095,124.351189,0.01001527,0.0756051,0.990871,0.990229,72.026878,-0.0054,100.4941,0,277.481,336.472,337.772,1022.315,0,0
,,1084,20.90944558,125.000427,0.01003219,0.07576612,0.990816,0.989788,72.06011,-0.0043,100.4942,0,277.472,336.495,337.799,1022.309,0,0
,,1085,20.91147382,125.144839,0.00996729,0.07602395,0.99085,0.989322,72.021575,-0.0052,100.4952,0,277.467,336.472,337.753,1022.296,0,0
,,1086,20.91220654,124.010602,0.00985858,0.07532837,0.990833,0.988917,71.958376,-0.0055,100.4951,0,277.46,336.444,337.74,1022.336,0,0
,,1087,20.91221837,126.395131,0.00979789,0.07493303,0.989683,0.988473,71.753391,-0.0055,100.4948,0,277.485,336.43,337.746,1022.336,0,0
,,1088,20.91185006,127.945479,0.00976026,0.07480908,0.988944,0.988049,72.262716,-0.0055,100.4936,0,277.476,336.388,337.686,1022.352,0,0
,,1089,20.91124675,125.319257,0.00977458,0.07485635,0.988599,0.987672,72.068979,-0.0054,100.4938,0,277.473,336.349,337.649,1022.356,0,0
,,1090,20.91161424,129.233842,0.00968005,0.07506897,0.988684,0.987288,71.767994,-0.0053,100.4941,0,277.462,336.329,337.609,1022.344,0,0
,,1091,20.91208821,126.643371,0.00952443,0.07467727,0.987903,0.986922,71.57714,-0.0053,100.4946,0,277.468,336.322,337.618,1022.347,0,0
,,1092,20.91083198,129.700918,0.00934831,0.07448491,0.987164,0.986585,71.572783,-0.0053,100.4949,0,277.463,336.313,337.63,1022.337,0,0
,,1093,20.91029697,127.935414,0.00922647,0.07420078,0.987099,0.986234,71.878946,-0.0054,100.4954,0,277.471,336.296,337.653,1022.31,0,0
,,1094,20.91124589,124.57867,0.00914733,0.07404309,0.987727,0.985896,71.822028,-0.0054,100.4955,0,277.464,336.296,337.66,1022.318,0,0
,,1095,20.91125042,120.890626,0.00908591,0.07406232,0.986196,0.98558,71.959737,-0.0054,100.4962,0,277.48,336.279,337.657,1022.322,0,0
,,1096,20.91168637,126.130769,0.00907025,0.0737312,0.985615,0.985201,72.106286,-0.0053,100.4963,0,277.486,336.25,337.607,1022.314,0,0
,,1097,20.91212731,123.559274,0.00900654,0.07375165,0.984322,0.984917,72.001847,-0.0053,100.4955,0,277.493,336.214,337.544,1022.312,0,0
,,1098,20.91228771,122.740245,0.00885749,0.0735245,0.984543,0.984621,71.85892,-0.0054,100.4944,0,277.49,336.212,337.583,1022.326,0,0
,,1099,20.91217077,124.152134,0.00871291,0.07332177,0.985544,0.984339,71.919317,-0.0055,100.4946,0,277.491,336.244,337.659,1022.324,0,0
,,1100,20.91164538,130.583343,0.00855347,0.07324391,0.984032,0.984134,71.942947,-0.0052,100.494,0,277.474,336.246,337.68,1022.331,0,0
,,1101,20.91284488,128.112039,0.00841816,0.07331032,0.983859,0.983908,71.888444,-0.0052,100.4974,0,277.485,336.222,337.684,1022.352,0,0
,,1102,20.91373195,125.781622,0.00828875,0.07346023,0.983728,0.983694,71.878105,-0.0053,100.4958,0,277.48,336.204,337.678,1022.369,0,0
,,1103,20.91413732,129.806363,0.00816655,0.07313293,0.984463,0.983533,71.967002,-0.0053,100.495,0,277.463,336.153,337.675,1022.389,0,0
,,1104,20.91423206,127.075824,0.00805992,0.07276271,0.983986,0.983354,71.891832,-0.0054,100.4948,0,277.477,336.155,337.622,1022.384,0,0
,,1105,20.91402175,124.905081,0.00797589,0.0725292,0.983353,0.983194,71.872556,-0.0054,100.4943,0,277.476,336.141,337.531,1022.365,0,0
,,1106,20.91347077,125.103976,0.00791034,0.07246667,0.983818,0.983085,71.806482,-0.0055,100.4939,0,277.471,336.106,337.506,1022.387,0,0
,,1107,20.91338513,122.867685,0.00786521,0.07259271,0.983336,0.982927,71.878799,-0.0054,100.4939,0,277.461,336.072,337.486,1022.393,0,0
,,1108,20.91385569,128.032852,0.00773745,0.0729078,0.983132,0.982843,71.686901,-0.0053,100.4937,0,277.457,336.057,337.475,1022.383,0,0
,,1109,20.914159,126.219908,0.00755491,0.07235345,0.983964,0.982781,71.881439,-0.0053,100.4927,0,277.458,336.068,337.534,1022.365,0,0
,,1110,20.91420482,122.469656,0.00743481,0.07189772,0.982912,0.982696,71.733184,-0.0054,100.4923,0,277.47,336.052,337.549,1022.343,0,0
,,1111,20.91393042,127.739607,0.00731324,0.0717484,0.983696,0.982702,71.846962,-0.0053,100.4925,0,277.458,336.022,337.486,1022.324,0,0
,,1112,20.91328853,126.368477,0.00722029,0.07168642,0.983434,0.982679,71.931262,-0.0052,100.4936,0,277.45,335.984,337.437,1022.302,0,0
,,1113,20.91187923,129.701386,0.0071659,0.07176294,0.984076,0.982656,71.884826,-0.0008,100.4926,0,277.456,335.958,337.419,1022.306,0,0
,,1114,20.91197471,125.954935,0.00709023,0.07207039,0.983311,0.982702,72.091731,-0.0042,100.4923,0,277.469,335.945,337.407,1022.308,0,0
,,1115,20.9107147,124.879154,0.00698392,0.07205925,0.983964,0.982719,72.109896,-0.0053,100.4927,0,277.477,335.957,337.439,1022.307,0,0
,,1116,20.91030089,121.105181,0.00694998,0.0718455,0.983754,0.982754,71.944392,-0.0053,100.493,0,277.467,335.966,337.47,1022.303,0,0
,,1117,20.90994782,124.749079,0.00688702,0.07107966,0.98396,0.982818,71.817657,-0.0053,100.4929,0,277.464,335.94,337.446,1022.289,0,0
,,1118,20.91095998,126.712385,0.00683096,0.07093703,0.98328,0.982882,71.698077,-0.0053,100.4937,0,277.458,335.921,337.458,1022.004,0,0
,,1119,20.91160651,128.060914,0.00678709,0.07111995,0.983335,0.982983,71.891795,-0.0052,100.4932,0,277.454,335.899,337.381,1022.228,0,0
,,1120,20.9120814,130.632379,0.00670732,0.07139164,0.983142,0.983094,71.548862,-0.0052,100.494,0,277.465,335.831,337.294,1022.283,0,0
,,1121,20.91230929,126.838479,0.00665251,0.07132528,0.983888,0.983166,71.861662,-0.0054,100.4946,0,277.47,335.767,337.24,1022.262,0,0
,,1122,20.9122588,126.873089,0.00657947,0.07117616,0.984689,0.983301,71.798594,-0.0054,100.4954,0,277.46,335.756,337.259,1022.284,0,0
,,1123,20.91342516,124.205763,0.00650027,0.07033276,0.984444,0.983454,71.879384,-0.0052,100.4955,0,277.455,335.786,337.347,1022.283,0,0
,,1124,20.91328857,125.086533,0.00644034,0.0701242,0.984114,0.983582,71.638167,-0.0052,100.4946,0,277.446,335.81,337.383,1022.299,0,0
,,1125,20.91370392,128.177601,0.00634387,0.07040084,0.984492,0.983751,71.786515,-0.0054,100.4942,0,277.463,335.808,337.385,1022.311,0,0
,,1126,20.91413613,127.982747,0.00622004,0.07063664,0.985233,0.983928,71.859648,-0.0054,100.495,0,277.448,335.818,337.363,1022.296,0,0
,,1127,20.91431424,129.309123,0.0061146,0.07042258,0.985275,0.984116,71.562947,-0.0053,100.4944,0,277.459,335.767,337.27,1022.307,0,0
,,1128,20.91477721,126.538983,0.00602745,0.07019895,0.984017,0.984371,71.768193,-0.0053,100.4935,0,277.481,335.724,337.236,1022.326,0,0
,,1129,20.91537498,126.585134,0.00595893,0.07013767,0.985295,0.984597,71.795665,-0.0054,100.4933,0,277.483,335.721,337.271,1022.304,0,0
,,1130,20.91524581,127.700891,0.00591354,0.06979295,0.985975,0.98484,71.866291,-0.0055,100.4938,0,277.451,335.735,337.272,1022.306,0,0
,,1131,20.91568991,128.794725,0.00585246,0.0696346,0.985598,0.985115,71.902563,-0.0054,100.4952,0,277.448,335.727,337.253,1022.312,0,0
,,1132,20.91610125,126.296928,0.00575314,0.06984982,0.98601,0.985328,71.742314,-0.0053,100.4957,0,277.451,335.683,337.198,1022.322,0,0
,,1133,20.9162515,123.408904,0.00560264,0.06970675,0.985951,0.985598,71.818327,-0.0055,100.4949,0,277.439,335.625,337.138,1022.342,0,0
,,1134,20.91608198,125.387905,0.00549466,0.06945268,0.986741,0.985866,71.882604,-0.0055,100.4958,0,277.466,335.587,337.087,1022.352,0,0
,,1135,20.91545548,126.099344,0.00542405,0.06934602,0.986011,0.986093,71.652869,-0.0052,100.4945,0,277.465,335.549,337,1022.351,0,0
,,1136,20.91535025,131.778338,0.0054296,0.06943164,0.987187,0.986384,71.764138,-0.0053,100.4946,0,277.458,335.504,336.962,1022.344,0,0
,,1137,20.91579308,129.317546,0.005375,0.06973867,0.987748,0.986651,71.990689,-0.0052,100.4943,0,277.471,335.491,336.991,1022.336,0,0
,,1138,20.91617234,128.225964,0.0052757,0.06982926,0.98787,0.986913,71.873819,-0.0051,100.4946,0,277.474,335.484,337.003,1022.328,0,0
,,1139,20.91623787,122.878775,0.00519048,0.06956103,0.98827,0.987249,71.776003,-0.0052,100.4947,0,277.472,335.497,337.012,1022.326,0,0
,,1140,20.91599089,120.721569,0.00513044,0.06978107,0.988509,0.987497,71.688478,-0.0051,100.494,0,277.462,335.499,337.044,1022.314,0,0
,,1141,20.91535594,125.884904,0.00509664,0.07005668,0.989337,0.987758,71.72378,-0.0051,100.4948,0,277.462,335.492,337.063,1022.311,0,0
,,1142,20.915384,126.522942,0.00505575,0.07020286,0.989119,0.988052,71.804771,-0.0052,100.4958,0,277.469,335.521,337.108,1022.305,0,0
,,1143,20.91585747,125.367343,0.00498278,0.07043269,0.989047,0.988279,71.815504,-0.0052,100.495,0,277.456,335.555,337.162,1022.293,0,0
,,1144,20.91618709,119.141625,0.00486244,0.07049557,0.990048,0.988608,71.588525,-0.0053,100.4951,0,277.456,335.565,337.203,1022.298,0,0
,,1145,20.91623787,124.1598,0.00478066,0.069723,0.989311,0.988946,71.797772,-0.0052,100.4948,0,277.473,335.549,337.221,1022.273,0,0
,,1146,20.91588249,126.801024,0.00470786,0.06935351,0.989705,0.989274,71.666375,-0.0051,100.4936,0,277.479,335.54,337.176,1022.265,0,0
,,1147,20.91530658,127.999455,0.00465109,0.06936084,0.990565,0.989612,71.828397,-0.0051,100.4929,0,277.465,335.489,337.075,1022.267,0,0
,,1148,20.91548812,125.01727,0.00459925,0.06957074,0.988934,0.989912,71.859103,-0.0052,100.4937,0,277.489,335.467,337.026,1022.277,0,0
,,1149,20.91597105,124.850236,0.00450696,0.06984784,0.991203,0.990226,71.864885,-0.0052,100.4943,0,277.494,335.396,336.972,1022.294,0,0
,,1150,20.916178,121.933572,0.00441665,0.0692662,0.991934,0.990584,71.930387,-0.0053,100.4947,0,277.501,335.364,336.955,1022.301,0,0
,,1151,20.91617634,126.110778,0.00427461,0.06882005,0.991058,0.990946,71.692539,-0.0054,100.4938,0,277.497,335.339,336.938,1022.298,0,0
,,1152,20.91579015,125.773693,0.00418123,0.06861018,0.992188,0.991285,71.805283,-0.0054,100.4943,0,277.501,335.324,336.962,1022.292,0,0
,,1153,20.91525549,125.152224,0.00411759,0.06855317,0.992776,0.991701,71.855818,-0.0053,100.4929,0,277.514,335.353,337.028,1022.28,0,0
,,1154,20.91559623,126.870653,0.00406253,0.06879134,0.992864,0.992082,71.70141,-0.0052,100.493,0,277.515,335.362,337.063,1022.277,0,0
,,1155,20.91607782,128.894434,0.00396385,0.06847498,0.99371,0.992489,71.55921,-0.0053,100.4931,0,277.502,335.388,337.091,1022.273,0,0
,,1156,20.91622543,127.06843,0.00386317,0.068109,0.993912,0.992894,71.480412,-0.0052,100.4913,0,277.492,335.409,337.118,1022.261,0,0
,,1157,20.91752545,121.939537,0.00377469,0.06787176,0.994263,0.993279,71.721579,-0.0052,100.4924,0,277.513,335.391,337.079,1022.261,0,0
,,1158,20.91755695,128.431005,0.00368355,0.06778662,0.995462,0.993672,71.538146,-0.0053,100.4924,0,277.52,335.352,336.986,1022.257,0,0
,,1159,20.91724488,127.544627,0.00358727,0.06783086,0.995481,0.994084,71.610986,-0.0053,100.4934,0,277.516,335.308,336.934,1022.262,0,0
,,1160,20.91765341,125.565264,0.00347936,0.06814021,0.995139,0.994433,71.791836,-0.0052,100.4932,0,277.526,335.272,336.84,1022.258,0,0
,,1161,20.91828496,132.237861,0.00337972,0.0677038,0.994636,0.9949,71.71496,-0.0054,100.4929,0,277.527,335.183,336.71,1022.245,0,0
,,1162,20.91986726,127.630503,0.00330786,0.0673662,0.996008,0.995298,71.787961,-0.0054,100.4928,0,277.517,335.207,336.82,1022.245,0,0
,,1163,20.92001159,126.13378,0.00328789,0.06712007,0.995975,0.995651,71.861378,-0.0054,100.4939,0,277.528,335.269,336.935,1022.239,0,0
,,1164,20.91947649,127.721669,0.00329559,0.06699609,0.99711,0.996104,71.399963,-0.0053,100.4935,0,277.523,335.292,336.929,1022.242,0,0
,,1165,20.92057082,125.185695,0.00326769,0.06710971,0.997477,0.996481,71.508226,-0.0052,100.4947,0,277.512,335.286,336.907,1022.251,0,0
,,1166,20.92002476,126.149298,0.00322601,0.06741316,0.998406,0.996869,71.48075,-0.0052,100.4948,0,277.521,335.244,336.864,1022.253,0,0
,,1167,20.9200749,130.084726,0.00316366,0.06683439,0.998365,0.99727,71.68676,-0.0053,100.4936,0,277.517,335.231,336.837,1022.279,0,0
,,1168,20.92016162,122.568292,0.00303164,0.06643865,0.998393,0.997611,71.816849,-0.0054,100.494,0,277.513,335.224,336.85,1022.295,0,0
,,1169,20.92148356,124.682823,0.00293161,0.06626088,0.998691,0.998037,71.781173,-0.0054,100.4942,0,277.508,335.262,336.926,1022.293,0,0
,,1170,20.9212081,124.454147,0.00291761,0.06622118,0.998981,0.998408,71.71771,-0.0054,100.4935,0,277.516,335.316,337.029,1022.314,0,0
,,1171,20.92124857,124.699214,0.00293095,0.06627406,0.999469,0.998763,71.647354,-0.0054,100.494,0,277.504,335.324,337.049,1022.338,0,0
,,1172,20.9217208,120.248208,0.00288388,0.06652538,0.999882,0.99914,71.707999,-0.0053,100.4942,0,277.508,335.319,337.044,1022.372,0,0
,,1173,20.92204499,121.113535,0.00279297,0.06667114,0.999059,0.999483,71.749657,-0.0054,100.4939,0,277.527,335.31,337.063,1022.391,0,0
,,1174,20.92207173,128.680776,0.00271676,0.06645033,1.000398,0.99982,71.7014,-0.0053,100.4937,0,277.518,335.293,337.04,1022.403,0,0
,,1175,20.92178805,126.536129,0.00264205,0.06623965,1.001174,1.000176,71.550995,-0.0053,100.4934,0,277.515,335.294,337.002,1022.422,0,0
,,1176,20.92120653,129.086878,0.00261578,0.06622719,1.000939,1.000476,71.551844,-0.0053,100.4938,0,277.509,335.284,336.959,1022.43,0,0
,,1177,20.91979841,125.921702,0.00263791,0.06641811,1.00147,1.000811,71.542323,-0.0053,100.4939,0,277.501,335.246,336.938,1022.448,0,0
,,1178,20.91987365,127.139143,0.00262458,0.06630948,1.00165,1.001147,71.373222,-0.0054,100.4939,0,277.512,335.248,336.92,1022.479,0,0
,,1179,20.92015682,126.647915,0.00260446,0.06595505,1.002388,1.001474,71.624058,-0.0054,100.4939,0,277.497,335.225,336.923,1022.465,0,0
,,1180,20.92003708,126.127425,0.0025911,0.06563875,1.003008,1.001777,71.642321,-0.0054,100.493,0,277.484,335.164,336.842,1022.5,0,0
,,1181,20.91818313,121.002226,0.00258787,0.06548488,1.001854,1.002094,71.603436,-0.0054,100.4932,0,277.496,335.122,336.787,1022.49,0,0
,,1182,20.91726872,127.035823,0.00259911,0.06544969,1.003248,1.002347,71.68078,-0.0055,100.4933,0,277.506,335.098,336.761,1022.493,0,0
,,1183,20.91916302,129.138257,0.00263511,0.06565605,1.002843,1.002619,71.576809,-0.0053,100.4931,0,277.505,335.078,336.671,1022.477,0,0
,,1184,20.91998616,125.160004,0.00262315,0.06651255,1.003057,1.002881,71.74019,-0.0054,100.4929,0,277.497,335.036,336.657,1022.53,0,0
,,1185,20.92020304,129.078903,0.00253567,0.06655081,1.004185,1.003162,71.700668,-0.0053,100.4928,0,277.491,335.037,336.688,1022.501,0,0
,,1186,20.92007209,127.55637,0.00250998,0.06633149,1.005137,1.003396,71.391251,-0.0053,100.4932,0,277.506,335.028,336.657,1022.489,0,0
,,1187,20.91962255,126.191617,0.00246026,0.0662101,1.003977,1.003618,71.428231,-0.0054,100.4931,0,277.494,334.995,336.613,1022.46,0,0
,,1188,20.91919565,130.302974,0.00242931,0.06626841,1.003748,1.003891,71.450007,-0.0053,100.4946,0,277.493,334.967,336.578,1022.441,0,0
,,1189,20.91961168,128.037704,0.00240921,0.06654975,1.004794,1.004158,71.670959,-0.0054,100.4934,0,277.49,334.966,336.589,1022.429,0,0
,,1190,20.92005751,124.760938,0.00234528,0.06612794,1.004632,1.004354,71.634913,-0.0052,100.4931,0,277.493,334.984,336.64,1022.415,0,0
,,1191,20.9202155,128.26446,0.00229388,0.06586389,1.004678,1.004577,71.788425,-0.0054,100.4933,0,277.488,335.005,336.64,1022.41,0,0
,,1192,20.92007066,127.293091,0.00222234,0.06559527,1.004497,1.004781,71.372359,-0.0053,100.4936,0,277.491,334.969,336.616,1022.364,0,0
,,1193,20.91961745,126.222975,0.00214824,0.06543116,1.006286,1.004947,71.522731,-0.0053,100.4943,0,277.494,334.94,336.641,1022.329,0,0
,,1194,20.91925127,124.72065,0.00210202,0.06552633,1.00662,1.00515,71.797249,-0.0054,100.4944,0,277.486,334.94,336.648,1022.31,0,0
,,1195,20.91971143,129.252382,0.00203051,0.06582075,1.006001,1.005321,71.715775,-0.0051,100.4944,0,277.477,334.941,336.661,1022.303,0,0
,,1196,20.92007577,126.310151,0.00186998,0.06591313,1.005578,1.00549,71.691033,-0.0052,100.4936,0,277.493,334.93,336.701,1022.289,0,0
,,1197,20.92021611,129.148149,0.00173969,0.06566959,1.006119,1.005685,71.806071,-0.0052,100.4933,0,277.47,334.928,336.683,1022.299,0,0
,,1198,20.91998934,127.741746,0.00165188,0.06552184,1.00635,1.005836,71.630117,-0.0052,100.4925,0,277.453,334.941,336.742,1022.313,0,0
,,1199,20.91831038,124.509559,0.00154136,0.06543522,1.007753,1.005981,71.604366,-0.0053,100.4934,0,277.462,334.94,336.751,1022.291,0,0
,,1200,20.91749184,126.798481,0.00146565,0.06546379,1.00727,1.006137,71.264738,-0.0054,100.4934,0,277.458,334.915,336.712,1022.284,0,0
,,1201,20.91783077,126.031232,0.00141426,0.06633341,1.006554,1.006269,71.560761,-0.0054,100.4927,0,277.445,334.861,336.654,1022.262,0,0
,,1202,20.91817664,127.566209,0.00131397,0.06670425,1.006326,1.006364,71.562281,-0.0054,100.4928,0,277.458,334.812,336.553,1022.253,0,0
,,1203,20.91826387,121.149394,0.00127235,0.06649754,1.00644,1.006515,71.362316,-0.0054,100.493,0,277.468,334.803,336.521,1022.252,0,0
,,1204,20.91741388,128.472879,0.00120504,0.06572852,1.006418,1.006627,71.71449,-0.0054,100.4926,0,277.463,334.795,336.55,1022.252,0,0
,,1205,20.91722029,123.08155,0.00120564,0.06546891,1.007104,1.006724,71.857312,-0.0054,100.4934,0,277.437,334.782,336.55,1022.273,0,0
,,1206,20.9174943,121.679193,0.00123503,0.0656112,1.007246,1.006826,71.758859,-0.0054,100.4936,0,277.445,334.809,336.568,1022.272,0,0
,,1207,20.91794219,121.971797,0.0011706,0.06589071,1.007639,1.006885,71.51152,-0.0054,100.4941,0,277.439,334.793,336.52,1022.272,0,0
,,1208,20.91822526,125.363787,0.00108789,0.06581656,1.007694,1.007001,71.403735,-0.0053,100.4933,0,277.439,334.745,336.441,1022.307,0,0
,,1209,20.91824321,127.664724,0.00103834,0.0656318,1.007038,1.007087,71.741612,-0.0054,100.4933,0,277.444,334.678,336.364,1022.31,0,0
,,1210,20.91939313,125.274219,0.00103429,0.0648366,1.007461,1.007124,71.510028,-0.0053,100.494,0,277.456,334.656,336.357,1022.305,0,0
,,1211,20.91922528,125.963026,0.00105535,0.06468318,1.007756,1.007191,71.305133,-0.0053,100.4933,0,277.439,334.633,336.35,1022.315,0,0
,,1212,20.91949722,123.609979,0.00108046,0.06480776,1.00774,1.007233,71.421479,-0.0053,100.4937,0,277.442,334.672,336.425,1022.322,0,0
,,1213,20.91995044,131.942747,0.001066,0.06514616,1.008221,1.007274,71.532694,-0.0053,100.4937,0,277.439,334.685,336.44,1022.304,0,0
